"Individual","N_Total","N_Explore","Exploration_Rate","Standard_Error"
"FRAN",272,59,0.56043956043956,0.0367906954563805
"DALI",283,88,0.40625,0.0354444208042088
"EBI",192,78,0.302752293577982,0.0311178097557745
"ANEMONE",218,66,0.216911764705882,0.0249897810760353
"CHOCOLAT",182,102,0.31095406360424,0.0275156000681509
"ICE",307,100,0.325732899022801,0.0267471559276543
