"Condition","N_Total","N_Explore","Exploration_Rate","Standard_Error","CI_Lower","CI_Upper"
"Solo",319,143,0.448275862068966,0.0278444297517188,0.393700779755597,0.502850944382334
"Duo",674,235,0.3486646884273,0.0183559280389445,0.312687069470968,0.384642307383631
"Trio",461,115,0.249457700650759,0.0201528086584977,0.209958195680104,0.288957205621415
