"Model","AIC","BIC","LogLik","Deviance"
"Basic",3158.04435580168,3205.58301872452,-1570.02217790084,3140.04435580168
"Individual",2934.76455311023,3061.53432090447,-1443.38227655511,2886.76455311023
"Full Hierarchical",1104.45323336836,1294.53353047219,-516.226616684178,1032.45323336836
