"Outcome","Term","Coefficient","SE","Z_value","P_value","OR"
"Explore","(Intercept)",0.241442484057179,0.193654384796221,1.24677003472576,0.212481830789442,1.27308423017196
"Explore","social_complexity",-0.0537708752147883,0.0952808302201125,-0.564340960197028,0.572522110599363,0.947649211550827
"Explore","expected_explore_z",0.289965570825018,0.0722381176343692,4.01402445579588,5.96921577289411e-05,1.33638147672171
"Explore","subjective_exploit_z",-0.525344823604743,0.0684580782861499,-7.6739639317487,1.66533453693773e-14,0.591351417278575
"Explore","rank_z",0.0550727214830111,0.102238736348996,0.538667861611847,0.590116053264278,1.05661745066963
"Explore","monkey_idCHOCOLAT",-0.0566909836741108,0.136258089855927,-0.416055910765029,0.677369091111898,0.9448860094601
"Explore","monkey_idDALI",-0.083448177990458,0.178687776484773,-0.467005520086984,0.640495928700021,0.919938758511122
"Explore","monkey_idEBI",-0.436355178523166,0.259838433247348,-1.67933270328715,0.0930872207968738,0.646388101987651
"Explore","monkey_idFRAN",0.370929349958666,0.137403899104296,2.69955476064849,0.00694323280625841,1.44908069215927
"Explore","monkey_idICE",-0.354096384788759,0.15734205476319,-2.2504878643011,0.0244179930163897,0.701807320545044
"None","(Intercept)",-1.48217104799265,0.229850960484789,-6.44840049772484,1.13036691118396e-10,0.227144012128728
"None","social_complexity",0.844690035406161,0.105111355814272,8.03614441905498,8.88178419700125e-16,2.32725633569471
"None","expected_explore_z",-0.0197107489947102,0.0755035255928781,-0.261057332620365,0.794048294629039,0.980482237767069
"None","subjective_exploit_z",-0.552743286075269,0.0738965159881212,-7.47996409146167,7.43849426498855e-14,0.575369240967801
"None","rank_z",0.900730975701859,0.101252864338601,8.89585674030628,0,2.46140167854187
"None","monkey_idCHOCOLAT",1.31484108968664,0.176522281664589,7.44858426532793,9.43689570931383e-14,3.7241591309321
"None","monkey_idDALI",-1.30949260525444,0.223681558002193,-5.85427165721727,4.79104955708465e-09,0.269956996401928
"None","monkey_idEBI",-2.08526020783645,0.250352618979578,-8.32929256476663,0,0.124274778686921
"None","monkey_idFRAN",-1.53347522020613,0.26431769788545,-5.80163656264404,6.56707799251421e-09,0.215784464243683
"None","monkey_idICE",-0.429147009706177,0.165985106016593,-2.5854549242706,0.00972505879241492,0.651064209387211
