"Model","AIC","BIC","Parameters","Delta_AIC","Delta_BIC"
"Null",3242.67101034209,3253.26248048759,2,428.683792421093,343.952031257104
"Fixed Effects",3031.69440893866,3084.65175966615,8,217.707191017664,175.341310435669
"Hierarchical",2813.987217921,2909.31044923048,18,0,0
