"Monkey","Explore","Exploit","None","Total_Trials"
"FRAN",50.7389162561576,44.3349753694581,4.92610837438424,203
"CHOCOLAT",28.8524590163934,27.5409836065574,43.6065573770492,305
"DALI",35.981308411215,43.4579439252336,20.5607476635514,214
"ICE",30.3680981595092,37.4233128834356,32.2085889570552,326
"EBI",27.1604938271605,46.0905349794239,26.7489711934156,243
"ANEMONE",19.0938511326861,17.7993527508091,63.1067961165049,309
