"monkey","sex","rank","explore","exploit","none"
"FRAN","Male","Dominant",50.7389162561576,44.3349753694581,4.92610837438424
"CHOCOLAT","Female","Dominant",28.8524590163934,27.5409836065574,43.6065573770492
"DALI","Male","Intermediate",36.2790697674419,43.2558139534884,20.4651162790698
"ICE","Female","Intermediate",30.4878048780488,37.5,32.0121951219512
"EBI","Male","Subordinate",27.0491803278689,45.9016393442623,27.0491803278689
"ANEMONE","Female","Subordinate",19.0938511326861,17.7993527508091,63.1067961165049
