"monkey","solo_rate","duo_rate","trio_rate","context_range"
"FRAN",78.125,54.7368421052632,34.2105263157895,43.9144736842105
"EBI",47.6190476190476,25.9842519685039,17.3333333333333,30.2857142857143
"ANEMONE",32.3529411764706,19.2592592592593,10.377358490566,21.9755826859045
"ICE",42.2222222222222,28.0575539568345,23.2323232323232,18.989898989899
"DALI",42.4242424242424,41.9047619047619,25.974025974026,16.4502164502165
"CHOCOLAT",34.7826086956522,29.7101449275362,23.469387755102,11.3132209405501
