"Rank","Explore","Exploit","None"
"Rank 1",37.5142531356898,39.5667046750285,22.9190421892816
"Rank 2",25.6457564575646,31.7343173431734,42.619926199262
"Rank 3",13.2596685082873,20.4419889502762,66.2983425414365
