"","FRAN","CHOCOLAT","DALI","ICE","EBI","ANEMONE"
"FRAN",32,0,113,0,134,0
"CHOCOLAT",0,69,0,173,0,161
"DALI",114,0,33,0,144,0
"ICE",0,167,0,89,0,169
"EBI",134,0,142,0,42,0
"ANEMONE",0,169,0,178,0,68
