"","ANEMONE","ICE","CHOCOLAT"
"ANEMONE",32.3529411764706,13.4831460674157,14.2011834319527
"ICE",22.9411764705882,42.2222222222222,27.5449101796407
"CHOCOLAT",27.3291925465839,24.8554913294798,34.7826086956522
