"outcome","n","min_chosen_value","max_chosen_value","min_expected_explore","max_expected_explore","min_subjective_exploit","max_subjective_exploit"
"Exploit",493,-0.644162798789034,1.7428718222731,-2.13686233436878,1.9258237769762,-1.46320309586809,1.35241226093291
"Explore",492,0.250975184109267,0.250975184109267,-2.13686233436878,1.9258237769762,-1.46320309586809,1.35241226093291
"None",466,-1.24092145405457,0.250975184109267,-2.13686233436878,1.9258237769762,-1.46320309586809,1.35241226093291
