"Variable","Explore_Rate"
"y10_solo",42.6426426426426
"y10_duo",31.7934782608696
"y10_trio",21.8455743879473
"y02_none",42.6426426426426
"y02_partnered",27.6243093922652
"y03_rank_1",37.5142531356898
"y03_rank_2",25.6457564575646
"y03_rank_3",13.2596685082873
