"b_muexplore_Intercept","b_munone_Intercept","b_muexplore_contextduo","b_muexplore_contexttrio","b_munone_contextduo","b_munone_contexttrio","sd_monkey__muexplore_Intercept","sd_monkey__munone_Intercept","Intercept_muexplore","Intercept_munone","r_monkey__muexplore[ANEMONE,Intercept]","r_monkey__muexplore[CHOCOLAT,Intercept]","r_monkey__muexplore[DALI,Intercept]","r_monkey__muexplore[EBI,Intercept]","r_monkey__muexplore[FRAN,Intercept]","r_monkey__muexplore[ICE,Intercept]","r_monkey__munone[ANEMONE,Intercept]","r_monkey__munone[CHOCOLAT,Intercept]","r_monkey__munone[DALI,Intercept]","r_monkey__munone[EBI,Intercept]","r_monkey__munone[FRAN,Intercept]","r_monkey__munone[ICE,Intercept]","lprior","lp__",".chain",".iteration",".draw"
-2.86909978355462,1.6361693838376,-0.0512224434572712,-0.26507178413218,0.711159991733732,1.00071407783483,3.93132470202429,0.895777760619122,-2.97624731893614,2.28475122922939,-0.394458820386261,-2.65782938199947,3.93241614699736,3.58387851382855,4.07869602796344,-7.75943734804122,1.14343188551415,-0.181357998008452,-0.538506398222594,-0.116909854602637,-1.12135472206511,-0.132032860880132,-14.0895980226931,-925.97940791473,1,1,1
-2.84567599217045,1.2529503821111,0.0917548414780591,-0.361146681762259,0.680634972219315,1.01018935091046,4.69873666648403,0.598352845950216,-2.91551088643632,1.89011033411573,-2.38698228931384,-1.43244462777557,3.61722374357823,3.83886160458767,4.12336694414883,-3.42653261352682,0.902234338621518,0.0605122000386923,-0.390584220760305,0.280158613314162,-0.355687212179058,0.782081180775588,-14.4204160231271,-926.350246269274,1,2,2
-1.95491018716978,1.42345981107539,-0.124637544277311,-0.388803699198762,0.876573543120249,1.15197642662454,5.79918215145898,0.679610388103353,-2.13540850442335,2.19737935219632,-1.08943637710845,-4.34639835512173,3.01427905021208,3.1823213134106,3.55559515056363,-1.50133261905283,1.19809154560244,0.17141472924905,-0.412902436320278,0.104553552984766,-0.468328810905092,0.260288830253527,-15.707147691372,-929.286203411566,1,3,3
-2.77705526986325,1.64254841460931,-0.0387659176209203,-0.324477846349655,0.333517622473727,0.461740609154453,2.75136510521122,0.395022112956979,-2.89693294049439,1.94434755197525,-1.84778888486041,-2.44550065458363,3.78212743448921,3.74838427233462,4.19047421928961,-2.9885195083135,0.651915822178251,-0.146613402494163,-0.149273474142216,0.193643465130491,-0.566321504271798,0.470934332560731,-11.6820300422038,-932.042469206329,1,4,4
-2.20832281136046,1.31437718122685,0.297910282616705,-0.689030548320392,0.881358213125933,0.83548590775321,2.44897764468102,0.865295161410843,-2.28365076229466,1.99144903058267,-1.58271473082083,-1.53887021107722,3.25380137064517,2.77339643374256,3.3994365243799,-1.18591817921435,1.23077903556608,0.0564638807098197,-0.237559848290098,-0.163214436777487,-0.929953070666065,0.270008531407529,-12.4141311901643,-930.952102217624,1,5,5
-2.7026592216685,1.66691296439083,-0.204233814323685,-0.192423974737127,0.533473337861922,0.941662805919289,2.87162994721968,0.747505159255278,-2.85918502522361,2.21324598880552,-4.61217741440933,-2.8560913322038,3.68000265031456,4.00751615999725,4.40533608808871,-4.0724949161577,0.888869168410627,-0.306186282029757,-0.655161774833963,0.491546402663671,-0.597606843656352,0.28719367938089,-12.6362500542995,-928.240239755667,1,6,6
-2.65012428395801,1.56956718821448,0.0996116091232856,-0.484951686020644,0.422328682734383,0.584649622272982,5.138164414175,0.770917993512583,-2.7550228749434,1.95171678570338,-3.57186910937057,-7.64389949978028,3.37423992502962,3.9641091073707,3.88995872427511,-1.09005210281831,1.28306005368623,0.0251526478131577,-0.433966831174478,0.597754152104952,-0.413026686266896,0.39515236001997,-14.5498816806738,-927.042345591669,1,7,7
-1.50529683046619,1.52543721981584,-0.233505652531045,-0.120342535234347,0.308338110805602,0.800629782493395,5.59172561817802,0.545672365814477,-1.65304985110976,1.92148403895614,-6.804369146351,-6.78373348533642,2.63702101365885,2.10126872088772,2.75338715917161,-5.80491580653388,1.10955025806246,0.186331675865173,0.0316138636616446,0.00195807620194511,-0.540972240766164,0.602583612350314,-14.4001284521168,-927.865027985243,1,8,8
-2.90347466808867,0.93102696049539,-0.107739053714501,-0.727017822908822,0.781817945065404,0.752512643990671,4.07419577765024,0.765991330619114,-3.181912799572,1.53519594433475,-3.70528397973217,-5.15568055564823,3.84130873643844,4.11442783782502,4.29908107399813,-4.65681562638092,1.67271117407029,0.452055229711979,-0.165150108636537,1.02406500214646,-0.0191490397005922,0.722471714125211,-14.0437500219295,-929.72935785104,1,9,9
-2.58277048426361,1.82648612124538,-0.12293039069467,-0.00840086404297107,0.342535186384412,0.83623228366119,3.05481038359497,0.579667445608509,-2.64334804336547,2.24980103193328,-2.5863912828834,-1.03118395078077,3.90203002774553,3.26183102915312,3.71435586952642,-2.72744143412033,1.10178615180798,0.0426546654761675,-0.209140474466865,-0.161789648820899,-0.925175867896759,0.416205380082658,-12.3605005979228,-928.870482973784,1,10,10
