"","FRAN","CHOCOLAT","DALI","ICE","EBI","ANEMONE"
"FRAN",78.125,0,40.7079646017699,0,43.2835820895522,0
"CHOCOLAT",0,34.7826086956522,0,24.8554913294798,0,27.3291925465839
"DALI",29.8245614035088,0,42.4242424242424,0,34.0277777777778,0
"ICE",0,27.5449101796407,0,41.5730337078652,0,23.0769230769231
"EBI",17.910447761194,0,24.6478873239437,0,47.6190476190476,0
"ANEMONE",0,14.2011834319527,0,13.4831460674157,0,32.3529411764706
