"Condition","Explore","Exploit","None"
"Solo",42.6426426426426,37.8378378378378,19.5195195195195
"Duo",31.7934782608696,37.2282608695652,30.9782608695652
"Trio",21.8455743879473,29.3785310734463,48.7758945386064
