"monkey","sex","rank","total_trials","explore_rate","exploit_rate","none_rate","solo_explore","duo_explore","trio_explore","context_flexibility"
"ANEMONE","Female","Subordinate",309,19.0938511326861,17.7993527508091,63.1067961165049,32.3529411764706,19.2592592592593,10.377358490566,21.9755826859045
"CHOCOLAT","Female","Dominant",305,28.8524590163934,27.5409836065574,43.6065573770492,34.7826086956522,29.7101449275362,23.469387755102,11.3132209405501
"DALI","Male","Intermediate",215,36.2790697674419,43.2558139534884,20.4651162790698,42.4242424242424,41.9047619047619,25.974025974026,16.4502164502165
"EBI","Male","Subordinate",244,27.0491803278689,45.9016393442623,27.0491803278689,47.6190476190476,25.9842519685039,17.3333333333333,30.2857142857143
"FRAN","Male","Dominant",203,50.7389162561576,44.3349753694581,4.92610837438424,78.125,54.7368421052632,34.2105263157895,43.9144736842105
"ICE","Female","Intermediate",328,30.4878048780488,37.5,32.0121951219512,42.2222222222222,28.0575539568345,23.2323232323232,18.989898989899
