"OUTCOME","mean_rank","sd_rank","count"
"explore",1.37755102040816,0.573165857276645,196
"exploit_pink",1.1796875,0.424330760714079,128
"exploit_blue",1.72727272727273,0.626135332452541,33
"exploit_red",1.71794871794872,0.759110211425468,39
"exploit_green",1.56410256410256,0.65643158889745,78
"exploit_yellow",1.48936170212766,0.581889411417369,94
NA,1.60873146622735,0.70163361754638,1214
